casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
9947,1,3,2,5,2,4,1,0,0,0,0,1,2
9948,2,1,1,7,3,0,0,0,0,0,2,1,6
9949,1,1,2,9,3,0,0,0,0,0,9,1,6
9950,1,1,1,6,3,0,0,0,0,0,3,1,4
9951,1,3,2,4,3,5,1,0,0,0,0,1,2
9952,1,2,2,9,2,0,0,0,3,0,11,1,2
9953,2,1,1,6,3,0,0,0,0,0,8,1,1
9954,2,2,1,6,3,0,0,1,0,0,8,1,1
9955,1,3,2,9,2,4,3,0,0,0,0,1,4
9956,1,1,1,8,3,0,0,0,0,0,1,1,4
9957,2,1,1,7,2,0,0,0,0,0,5,1,2
9958,1,3,1,9,3,6,9,0,0,0,0,1,2
9959,2,2,2,7,3,0,0,1,0,0,9,1,1
9960,1,1,2,6,3,0,0,0,0,0,11,1,3
9961,2,1,9,7,3,0,0,0,0,0,1,1,3
9962,1,1,2,9,3,0,0,0,0,0,1,1,2
9963,1,1,2,8,2,0,0,0,0,0,1,1,4
9964,2,1,1,4,3,0,0,0,0,0,3,1,1
9965,2,1,1,8,2,0,0,0,0,0,1,1,2
9966,1,1,1,5,3,0,0,0,0,0,1,9,11
9967,1,1,2,6,3,0,0,0,0,0,1,1,6
9968,1,3,2,6,3,1,1,0,0,0,0,1,4
9969,1,1,2,8,3,0,0,0,0,0,4,1,1
9970,1,3,1,5,2,4,3,0,0,0,0,1,8
9971,2,1,2,5,3,0,0,0,0,0,1,1,3
9972,1,1,1,10,2,0,0,0,0,0,90,1,3
9973,1,3,2,4,3,5,1,0,0,0,0,1,2
9974,2,1,1,6,2,0,0,0,0,0,4,1,9
9975,1,3,2,7,3,10,9,0,0,0,0,1,2
9976,1,1,1,7,3,0,0,0,0,0,2,1,3
9977,1,1,2,7,3,0,0,0,0,0,9,1,2
9978,1,1,1,6,3,0,0,0,0,0,2,1,5
9979,2,1,1,5,3,0,0,0,0,0,1,1,3
9980,1,1,1,5,3,0,0,0,0,0,9,1,1
9981,1,2,1,4,3,0,0,1,0,0,9,1,3
9982,1,2,2,11,2,0,0,0,2,0,11,1,8
